"Листовые детали","","","","","","","","","","","","","",""
"№","Наименование","Код","A мм.","B мм.","a мм.","b мм.","Толщина мм.","Площадь кв.м.","Кромки","Сердцевина","Лицевая сторона","Тыльная сторона","Текстура","Кол."
"7","столешка 38","","38","1.82736","","","","","","","","","",""
"Кромки","","","","","","","","","","","","","",""
"№","Материал","Код","Ширина мм.","Длина м.","Толщина мм.","Примечание","","","","","","","",""
"1","ПВХ 0,4мм","","16","51.284","0","","","","","","","","",""
"2","ПВХ 0,4мм","","16","63.05632","0","","","","","","","","",""
"3","ПВХ 2мм","","16","0.6","2","","","","","","","","",""
"4","ПВХ 2мм","","16","5.23265","2","","","","","","","","",""
"Комплектующие","","","","","","","","","","","","","",""
"№","Наименование","Код","Кол.","Примечание","","","","","","","","","",""
"","ПРОЧИЕ:","","","","","","","","","","","","",""
"1","A3","","3","","","","","","","","","","",""
"2","В-Вытяжка(встроенная600)","","1","","","","","","","","","","",""
"3","В_короб_2_полки_посередине","","2","","","","","","","","","","",""
"4","В_короб_2_сьемные_полки","","1","","","","","","","","","","",""
"5","ВК_2полки_сьемные","","1","","","","","","","","","","",""
